City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Oussouye,SN,2021-10-25 17:58:56,12.485,-16.5469,91.58,81,99,4.97
68,Saint-Philippe,RE,2021-10-25 17:58:56,-21.3585,55.7679,74.79,83,32,15.1
69,Kysyl-Syr,RU,2021-10-25 17:58:57,63.8986,122.7617,31.6,99,100,3.98
70,Okha,RU,2021-10-25 17:58:57,53.5739,142.9478,35.46,89,5,8.79
71,Cotonou,BJ,2021-10-25 17:58:57,6.3654,2.4183,84.18,79,40,14.97
72,Sitka,US,2021-10-25 17:58:58,57.0531,-135.33,44.2,67,67,3.42
73,Esperance,AU,2021-10-25 17:58:58,-33.8667,121.9,51.64,82,99,11.03
74,Gat,IL,2021-10-25 17:57:03,31.61,34.7642,70.81,100,1,7.43
75,Tezu,IN,2021-10-25 17:58:58,27.9167,96.1667,68.79,72,3,4.16
76,Muromtsevo,RU,2021-10-25 17:58:59,56.3724,75.2418,41.5,72,100,5.39
77,Capaccio,IT,2021-10-25 17:58:59,40.4244,15.0809,62.58,77,98,8.79
78,Victoria,HK,2021-10-25 17:57:57,22.2855,114.1577,75.33,78,97,1.01
79,Tuktoyaktuk,CA,2021-10-25 17:54:01,69.4541,-133.0374,28.4,100,90,6.91
80,Ampanihy,MG,2021-10-25 17:58:59,-24.7,44.75,74.88,81,1,7.7
81,Vostok,RU,2021-10-25 17:59:00,46.4856,135.8833,32.23,77,17,4.88
82,Iqaluit,CA,2021-10-25 17:59:00,63.7506,-68.5145,33.53,69,75,5.99
83,Kaitangata,NZ,2021-10-25 17:59:00,-46.2817,169.8464,51.51,87,98,6.11
84,Lumeje,AO,2021-10-25 17:59:01,-11.55,20.7833,69.67,76,79,3.18
85,Imeni Babushkina,RU,2021-10-25 17:59:01,59.7573,43.1285,29.61,95,100,9.69
86,Verkhnevilyuysk,RU,2021-10-25 17:59:02,63.4453,120.3167,32.32,98,100,5.1
87,Coquimbo,CL,2021-10-25 17:59:02,-29.9533,-71.3436,64.13,67,20,14.97
88,Tiksi,RU,2021-10-25 17:57:45,71.6872,128.8694,2.7,95,100,4.45
89,Mata,PT,2021-10-25 17:59:03,40.683,-7.4592,57.74,58,65,4.18
90,Tuatapere,NZ,2021-10-25 17:59:03,-46.1333,167.6833,51.71,97,74,1.39
91,Biak,ID,2021-10-25 17:59:04,-0.9131,122.8766,76.86,87,78,1.3
92,Port Alfred,ZA,2021-10-25 17:56:22,-33.5906,26.891,64.33,80,53,21.03
93,Denpasar,ID,2021-10-25 17:59:04,-8.65,115.2167,78.46,83,40,1.14
94,La Palma,US,2021-10-25 17:59:04,33.8464,-118.0467,66.04,89,90,1.01
95,Arraial Do Cabo,BR,2021-10-25 17:59:05,-22.9661,-42.0278,73.36,73,75,8.05
96,Warrnambool,AU,2021-10-25 17:59:05,-38.3833,142.4833,41.45,89,0,7.27
97,Axim,GH,2021-10-25 17:59:05,4.8699,-2.2405,79.16,84,56,9.69
98,Vaini,TO,2021-10-25 17:59:05,-21.2,-175.2,71.76,88,20,4.61
99,Ulladulla,AU,2021-10-25 17:59:06,-35.35,150.4667,56.3,78,7,4.18
100,Puerto Ayora,EC,2021-10-25 17:56:12,-0.7393,-90.3518,75.16,92,59,7.0
101,Lebu,CL,2021-10-25 17:59:06,-37.6167,-73.65,57.43,73,26,12.62
102,Sangar,RU,2021-10-25 17:59:06,63.9242,127.4739,17.82,97,98,4.5
103,Dawlatabad,AF,2021-10-25 17:59:07,36.4141,64.9053,64.18,20,100,3.8
104,Buraydah,SA,2021-10-25 17:59:07,26.326,43.975,84.65,23,0,13.06
105,Pedasi,PA,2021-10-25 17:59:07,7.5333,-80.0333,82.18,74,67,0.96
106,Flinders,AU,2021-10-25 17:59:08,-34.5833,150.8552,56.48,81,24,5.35
107,Bundaberg,AU,2021-10-25 17:59:08,-24.85,152.35,71.22,96,75,8.05
108,Calvinia,ZA,2021-10-25 17:59:08,-31.4707,19.776,67.95,22,0,7.18
109,Yulara,AU,2021-10-25 17:59:09,-25.2406,130.9889,75.04,29,54,9.22
110,Evensk,RU,2021-10-25 17:59:09,61.95,159.2333,15.13,86,100,7.05
111,Cervo,ES,2021-10-25 17:59:09,43.6702,-7.4101,57.96,82,35,4.56
112,Doha,QA,2021-10-25 17:57:58,25.2867,51.5333,84.18,61,0,10.36
113,Hasaki,JP,2021-10-25 17:59:10,35.7333,140.8333,59.4,88,100,25.59
114,Harper,LR,2021-10-25 17:59:10,4.375,-7.7169,78.82,78,91,9.55
115,Lompoc,US,2021-10-25 17:59:10,34.6391,-120.4579,59.77,89,90,10.0
116,Lavrentiya,RU,2021-10-25 17:55:18,65.5833,-171.0,17.46,80,100,10.04
117,Namatanai,PG,2021-10-25 17:59:11,-3.6667,152.4333,78.57,81,21,4.23
118,Kayerkan,RU,2021-10-25 17:59:11,69.3497,87.7602,16.81,94,100,13.31
119,Vila Franca Do Campo,PT,2021-10-25 17:59:11,37.7167,-25.4333,70.21,71,81,2.91
120,Laurel,US,2021-10-25 17:57:37,39.0993,-76.8483,79.79,60,1,1.01
121,Norman Wells,CA,2021-10-25 17:59:12,65.282,-126.8329,23.04,93,75,3.44
122,Oriximina,BR,2021-10-25 17:59:12,-1.7656,-55.8661,94.66,42,53,7.16
123,Hua Hin,TH,2021-10-25 17:59:12,12.5707,99.9588,77.97,86,48,7.11
124,Mandalgovi,MN,2021-10-25 17:59:12,45.7625,106.2708,31.71,61,0,8.7
125,Oranjemund,NA,2021-10-25 17:59:13,-28.55,16.4333,61.7,73,42,11.21
126,Punta Arenas,CL,2021-10-25 17:59:13,-53.15,-70.9167,42.82,70,40,26.46
127,Lewistown,US,2021-10-25 17:59:13,40.5992,-77.5714,75.47,60,46,4.63
128,La Rioja,ES,2021-10-25 17:59:14,42.25,-2.5,53.49,48,80,2.26
129,Jumla,NP,2021-10-25 17:59:14,29.2747,82.1838,44.47,86,5,3.58
130,Bologoye,RU,2021-10-25 17:59:14,57.8799,34.1068,36.63,84,74,10.11
131,Dodge City,US,2021-10-25 17:59:14,37.7528,-100.0171,63.68,60,55,8.01
132,Laguna,US,2021-10-25 17:59:15,38.421,-121.4238,62.29,81,1,4.0
133,Tasiilaq,GL,2021-10-25 17:59:15,65.6145,-37.6368,33.96,82,100,21.12
134,Cidreira,BR,2021-10-25 17:59:15,-30.1811,-50.2056,75.38,48,0,4.56
135,La Reforma,MX,2021-10-25 17:59:16,25.0833,-108.05,90.75,55,0,6.91
136,Hambantota,LK,2021-10-25 17:59:16,6.1241,81.1185,78.01,87,100,14.05
137,Tavagnacco,IT,2021-10-25 17:59:16,46.1272,13.2132,52.29,60,100,3.0
138,Sisimiut,GL,2021-10-25 17:59:17,66.9395,-53.6735,18.63,72,4,11.34
139,Miri,MY,2021-10-25 17:59:17,4.4148,114.0089,78.94,89,40,0.0
140,Carbonia,IT,2021-10-25 17:59:17,39.1672,8.5222,67.01,76,99,0.58
141,Mahebourg,MU,2021-10-25 17:59:18,-20.4081,57.7,74.25,73,40,12.66
142,Bambous Virieux,MU,2021-10-25 17:59:18,-20.3428,57.7575,74.21,73,40,12.66
143,Cayhagan,PH,2021-10-25 17:59:18,9.6697,122.4256,78.03,89,99,6.82
144,Dikson,RU,2021-10-25 17:59:19,73.5069,80.5464,12.92,87,100,19.13
145,Salalah,OM,2021-10-25 17:59:19,17.0151,54.0924,77.85,72,51,3.22
146,Aklavik,CA,2021-10-25 17:59:19,68.2191,-135.0107,23.72,95,100,3.65
147,Dingle,PH,2021-10-25 17:59:19,10.9995,122.6711,75.31,91,100,4.21
148,Fairbanks,US,2021-10-25 17:57:35,64.8378,-147.7164,27.23,92,90,3.44
149,Kamenka,RU,2021-10-25 17:57:18,51.3223,42.7678,30.88,65,28,4.59
150,Lagoa,PT,2021-10-25 17:59:20,39.05,-27.9833,66.92,72,68,7.96
151,Seoul,KR,2021-10-25 17:58:12,37.5683,126.9778,51.24,90,1,2.3
152,Itarema,BR,2021-10-25 17:59:20,-2.9248,-39.9167,86.43,56,24,19.8
